17:07:52.589779 ARP, Request who-has 192.168.15.130 (Broadcast) tell 192.168.15.129, length 46
17:07:52.590913 ARP, Reply 192.168.15.130 is-at 00:0c:29:66:2d:38 (oui Unknown), length 46
17:07:52.791662 IP 192.168.15.129.36294 > 192.168.15.2.domain: 6776+ PTR? 130.15.168.192.in-addr.arpa. (45)
17:07:52.804941 IP 192.168.15.2.domain > 192.168.15.129.36294: 6776 NXDomain 0/0/0 (45)
17:07:52.806720 IP 192.168.15.129.36884 > 192.168.15.130.loc-srv: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:52.810448 IP 192.168.15.130.pop3 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:52.810533 IP 192.168.15.130.auth > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:52.810632 IP 192.168.15.129.36884 > 192.168.15.130.1025: Flags [R], seq 2929750037, win 0, length 0
17:07:53.908997 IP 192.168.15.129.36885 > 192.168.15.130.auth: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:53.909130 IP 192.168.15.129.36885 > 192.168.15.130.pop3: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:53.909196 IP 192.168.15.129.36885 > 192.168.15.130.imaps: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:53.909261 IP 192.168.15.129.36885 > 192.168.15.130.smux: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:53.909350 IP 192.168.15.129.36885 > 192.168.15.130.telnet: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:53.909729 IP 192.168.15.130.auth > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:53.909852 IP 192.168.15.129.36885 > 192.168.15.130.domain: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:53.909912 IP 192.168.15.129.36885 > 192.168.15.130.1025: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:53.909973 IP 192.168.15.129.36885 > 192.168.15.130.http-alt: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:53.910062 IP 192.168.15.130.pop3 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:53.910115 IP 192.168.15.130.imaps > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:53.910256 IP 192.168.15.130.smux > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:53.910623 IP 192.168.15.130.telnet > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:53.910743 IP 192.168.15.130.domain > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:53.910834 IP 192.168.15.129.36885 > 192.168.15.130.1723: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:53.910901 IP 192.168.15.129.36884 > 192.168.15.130.pop3s: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.910955 IP 192.168.15.129.36884 > 192.168.15.130.netbios-ssn: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.911046 IP 192.168.15.130.1025 > 192.168.15.129.36885: Flags [S.], seq 4068898819, ack 2929815574, win 17520, options [mss 1460], length 0
17:07:53.911104 IP 192.168.15.130.http-alt > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:53.911190 IP 192.168.15.129.36884 > 192.168.15.130.http: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.911345 IP 192.168.15.129.36885 > 192.168.15.130.1025: Flags [R], seq 2929815574, win 0, length 0
17:07:53.911440 IP 192.168.15.130.1723 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:53.911499 IP 192.168.15.130.pop3s > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.911909 IP 192.168.15.130.netbios-ssn > 192.168.15.129.36884: Flags [S.], seq 4068944424, ack 2929750037, win 17520, options [mss 1460], length 0
17:07:53.912052 IP 192.168.15.129.36884 > 192.168.15.130.1720: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.912114 IP 192.168.15.129.36884 > 192.168.15.130.256: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.912175 IP 192.168.15.129.36884 > 192.168.15.130.microsoft-ds: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.912232 IP 192.168.15.129.36884 > 192.168.15.130.netbios-ssn: Flags [R], seq 2929750037, win 0, length 0
17:07:53.912371 IP 192.168.15.130.http > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.912469 IP 192.168.15.129.36884 > 192.168.15.130.5900: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.912562 IP 192.168.15.130.1720 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.912620 IP 192.168.15.130.256 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.912703 IP 192.168.15.129.36884 > 192.168.15.130.rtsp: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.913106 IP 192.168.15.130.microsoft-ds > 192.168.15.129.36884: Flags [S.], seq 4068982284, ack 2929750037, win 17520, options [mss 1460], length 0
17:07:53.913219 IP 192.168.15.129.36884 > 192.168.15.130.https: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.913335 IP 192.168.15.129.36884 > 192.168.15.130.ftp: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.913433 IP 192.168.15.130.5900 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.913561 IP 192.168.15.130.rtsp > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.913653 IP 192.168.15.129.36884 > 192.168.15.130.microsoft-ds: Flags [R], seq 2929750037, win 0, length 0
17:07:53.913870 IP 192.168.15.130.https > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.913958 IP 192.168.15.130.ftp > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.914375 IP 192.168.15.129.36884 > 192.168.15.130.8888: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.914483 IP 192.168.15.129.36884 > 192.168.15.130.smtp: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.914915 IP 192.168.15.130.8888 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.915030 IP 192.168.15.130.smtp > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.917819 IP 192.168.15.129.36884 > 192.168.15.130.sunrpc: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.917944 IP 192.168.15.129.36884 > 192.168.15.130.mysql: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.918075 IP 192.168.15.129.36884 > 192.168.15.130.imap2: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.918203 IP 192.168.15.129.36884 > 192.168.15.130.ssh: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.918371 IP 192.168.15.129.36884 > 192.168.15.130.3389: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.918573 IP 192.168.15.129.36884 > 192.168.15.130.submission: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.918644 IP 192.168.15.129.36884 > 192.168.15.130.1079: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.918799 IP 192.168.15.129.36884 > 192.168.15.130.x11-3: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.918967 IP 192.168.15.129.36884 > 192.168.15.130.2033: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.919138 IP 192.168.15.129.36884 > 192.168.15.130.56738: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.919282 IP 192.168.15.129.36884 > 192.168.15.130.2106: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.919445 IP 192.168.15.129.36884 > 192.168.15.130.git: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.919589 IP 192.168.15.129.36884 > 192.168.15.130.1085: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.919842 IP 192.168.15.129.36884 > 192.168.15.130.1045: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.919986 IP 192.168.15.129.36884 > 192.168.15.130.1700: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.920119 IP 192.168.15.129.36884 > 192.168.15.130.1086: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.920200 IP 192.168.15.129.36884 > 192.168.15.130.6567: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.920254 IP 192.168.15.129.36884 > 192.168.15.130.84: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.920355 IP 192.168.15.129.36884 > 192.168.15.130.24800: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.920413 IP 192.168.15.129.36884 > 192.168.15.130.15003: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.920470 IP 192.168.15.129.36884 > 192.168.15.130.xmpp-server: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.920533 IP 192.168.15.129.36884 > 192.168.15.130.2008: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.920590 IP 192.168.15.129.36884 > 192.168.15.130.1107: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.920642 IP 192.168.15.129.36884 > 192.168.15.130.1583: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.920703 IP 192.168.15.129.36884 > 192.168.15.130.55555: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.920758 IP 192.168.15.129.36884 > 192.168.15.130.48080: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.920815 IP 192.168.15.129.36884 > 192.168.15.130.8002: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.920874 IP 192.168.15.129.36884 > 192.168.15.130.20000: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:53.920985 IP 192.168.15.130.sunrpc > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.921044 IP 192.168.15.130.mysql > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.921096 IP 192.168.15.130.imap2 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.921200 IP 192.168.15.130.ssh > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.921371 IP 192.168.15.130.3389 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.921430 IP 192.168.15.130.submission > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.921530 IP 192.168.15.130.1079 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.921603 IP 192.168.15.130.x11-3 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.921658 IP 192.168.15.130.2033 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.921713 IP 192.168.15.130.56738 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.921766 IP 192.168.15.130.2106 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.921825 IP 192.168.15.130.git > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.921882 IP 192.168.15.130.1085 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.921939 IP 192.168.15.130.1045 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.921994 IP 192.168.15.130.1700 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.922049 IP 192.168.15.130.1086 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.922108 IP 192.168.15.130.6567 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.922165 IP 192.168.15.130.84 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.922222 IP 192.168.15.130.24800 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.922275 IP 192.168.15.130.15003 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.922361 IP 192.168.15.130.xmpp-server > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.922419 IP 192.168.15.130.2008 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.922478 IP 192.168.15.130.1107 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.922534 IP 192.168.15.130.1583 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.922775 IP 192.168.15.130.55555 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.922862 IP 192.168.15.130.48080 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.922995 IP 192.168.15.130.8002 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:53.923194 IP 192.168.15.130.20000 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.010996 IP 192.168.15.129.36884 > 192.168.15.130.kerberos-adm: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.011145 IP 192.168.15.129.36884 > 192.168.15.130.1688: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.011543 IP 192.168.15.129.36884 > 192.168.15.130.3301: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.011684 IP 192.168.15.129.36884 > 192.168.15.130.6510: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.012496 IP 192.168.15.130.kerberos-adm > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.013135 IP 192.168.15.130.1688 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.013306 IP 192.168.15.130.3301 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.013667 IP 192.168.15.130.6510 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.013783 IP 192.168.15.129.36884 > 192.168.15.130.714: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.013845 IP 192.168.15.129.36884 > 192.168.15.130.4444: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.013912 IP 192.168.15.129.36884 > 192.168.15.130.1494: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.013971 IP 192.168.15.129.36884 > 192.168.15.130.2179: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.014029 IP 192.168.15.129.36884 > 192.168.15.130.2009: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.014088 IP 192.168.15.129.36884 > 192.168.15.130.8180: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.014148 IP 192.168.15.129.36884 > 192.168.15.130.10778: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.014207 IP 192.168.15.129.36884 > 192.168.15.130.1113: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.014265 IP 192.168.15.129.36884 > 192.168.15.130.32774: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.014323 IP 192.168.15.129.36884 > 192.168.15.130.125: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.014375 IP 192.168.15.129.36884 > 192.168.15.130.1065: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.014432 IP 192.168.15.129.36884 > 192.168.15.130.27000: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.014526 IP 192.168.15.129.36884 > 192.168.15.130.720: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.014585 IP 192.168.15.129.36884 > 192.168.15.130.49400: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.014643 IP 192.168.15.129.36884 > 192.168.15.130.4343: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.014700 IP 192.168.15.129.36884 > 192.168.15.130.1334: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.014764 IP 192.168.15.129.36884 > 192.168.15.130.5911: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.014822 IP 192.168.15.129.36884 > 192.168.15.130.5811: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.014874 IP 192.168.15.129.36884 > 192.168.15.130.kerberos: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.014931 IP 192.168.15.129.36884 > 192.168.15.130.2393: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.014989 IP 192.168.15.129.36884 > 192.168.15.130.11967: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.018191 IP 192.168.15.130.714 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.018369 IP 192.168.15.130.4444 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.018827 IP 192.168.15.130.1494 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.018900 IP 192.168.15.130.2179 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.018959 IP 192.168.15.130.2009 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.019016 IP 192.168.15.130.8180 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.019076 IP 192.168.15.130.10778 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.019133 IP 192.168.15.130.1113 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.019190 IP 192.168.15.130.32774 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.019250 IP 192.168.15.130.125 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.019308 IP 192.168.15.130.1065 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.019364 IP 192.168.15.130.27000 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.019421 IP 192.168.15.130.720 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.019534 IP 192.168.15.130.49400 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.019662 IP 192.168.15.130.4343 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.019849 IP 192.168.15.130.1334 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.019929 IP 192.168.15.130.5911 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.019989 IP 192.168.15.130.5811 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.020046 IP 192.168.15.130.kerberos > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.020106 IP 192.168.15.130.2393 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.020210 IP 192.168.15.130.11967 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.020384 IP 192.168.15.129.36884 > 192.168.15.130.5550: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.020486 IP 192.168.15.129.36884 > 192.168.15.130.2144: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.020540 IP 192.168.15.129.36884 > 192.168.15.130.10001: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.020643 IP 192.168.15.129.36884 > 192.168.15.130.4550: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.020787 IP 192.168.15.129.36884 > 192.168.15.130.3766: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.021026 IP 192.168.15.129.36884 > 192.168.15.130.1067: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.021133 IP 192.168.15.129.36884 > 192.168.15.130.afs3-kaserver: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.021205 IP 192.168.15.129.36884 > 192.168.15.130.1034: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.021403 IP 192.168.15.130.5550 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.022381 IP 192.168.15.130.2144 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.022596 IP 192.168.15.130.10001 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.022656 IP 192.168.15.130.4550 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.022713 IP 192.168.15.130.3766 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.022898 IP 192.168.15.130.1067 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.023158 IP 192.168.15.130.afs3-kaserver > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.023305 IP 192.168.15.130.1034 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.110973 IP 192.168.15.129.36885 > 192.168.15.130.3301: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.111047 IP 192.168.15.129.36885 > 192.168.15.130.1688: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.111071 IP 192.168.15.129.36885 > 192.168.15.130.kerberos-adm: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.111484 IP 192.168.15.130.3301 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.111574 IP 192.168.15.130.1688 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.111759 IP 192.168.15.130.kerberos-adm > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.114008 IP 192.168.15.129.36885 > 192.168.15.130.5911: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.114144 IP 192.168.15.129.36885 > 192.168.15.130.1334: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.114349 IP 192.168.15.129.36885 > 192.168.15.130.4343: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.114419 IP 192.168.15.129.36885 > 192.168.15.130.49400: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.114474 IP 192.168.15.129.36885 > 192.168.15.130.720: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.114534 IP 192.168.15.129.36885 > 192.168.15.130.27000: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.114578 IP 192.168.15.129.36885 > 192.168.15.130.1065: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.114821 IP 192.168.15.129.36885 > 192.168.15.130.125: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
